Date,Open,High,Low,Close,Adj Close,Volume
11/15/2018,196.949997,205.300003,195.5,202.389999,201.979538,21017700
11/16/2018,163.320007,170.660004,161.610001,164.429993,164.096527,49088000
11/19/2018,161.789993,161.820007,144.630005,144.699997,144.406525,42445500
11/20/2018,134.059998,154.259995,133.309998,149.080002,148.777649,42300800
11/21/2018,154.619995,155.300003,143.610001,144.710007,144.416519,25637400
11/23/2018,143.309998,149.589996,142.789993,145,144.705917,10299200
11/26/2018,149.889999,153.470001,146.559998,153.050003,152.739609,20370800
11/27/2018,152,157.009995,150.550003,153.729996,153.418213,18451500
11/28/2018,158.479996,160.279999,153.130005,160.070007,159.745361,20113100
11/29/2018,160,161.5,156.139999,157.360001,157.197998,13729300
11/30/2018,157.75,163.860001,155.720001,163.429993,163.261734,18239100
12/3/2018,172.600006,174.679993,167.339996,170.039993,169.864929,22270100
12/4/2018,168.240005,168.440002,156.5,157.110001,156.948242,20302800
12/6/2018,151.440002,158.490005,150.809998,158.289993,158.127029,17307700
12/7/2018,158.460007,158.869995,145.619995,147.610001,147.458023,17041900
12/10/2018,145.800003,152.860001,145.649994,151.860001,151.703659,15736800
12/11/2018,155.559998,155.889999,145,148.190002,148.03743,16797800
12/12/2018,148.419998,152.779999,144.820007,148.899994,148.746689,16353400
12/13/2018,150.789993,153.380005,147.440002,148.889999,148.73671,11784600
12/14/2018,147.210007,150.589996,145.5,146.449997,146.299225,11795500
12/17/2018,145.240005,148.149994,141.240005,143.580002,143.432175,16571700
12/18/2018,145.350006,150.330002,144.25,146.940002,146.788727,14109300
12/19/2018,145.580002,147.740005,136.429993,138.509995,138.367386,18634100
12/20/2018,138.169998,141.800003,132.690002,135.100006,134.960907,18739700
12/21/2018,136.169998,137.5,128.460007,129.570007,129.436615,21593500
12/24/2018,126.489998,129.979996,124.5,127.080002,126.949165,11596000
12/26/2018,128.940002,133.139999,124.459999,133.100006,132.962967,17377500
12/27/2018,130.990005,132.380005,125.18,131.169998,131.034958,15926100
12/28/2018,132,137.389999,130.309998,133.649994,133.51239,15718200
12/31/2018,135.399994,136.710007,132.259995,133.5,133.362549,11628500
1/2/2019,130.639999,138.479996,130.050003,136.220001,136.079758,12718800
1/3/2019,133.789993,135.160004,127.690002,127.989998,127.858223,17638800
1/4/2019,130.940002,137.729996,129.699997,136.190002,136.049789,14640500
1/7/2019,138.5,144.889999,136.429993,143.399994,143.25235,17729000
1/8/2019,146.690002,146.779999,136.899994,139.830002,139.686035,19650400
1/9/2019,141.899994,144.490005,139.860001,142.580002,142.433212,15431500
1/10/2019,141.800003,145.580002,139.360001,145.229996,145.080475,13078900
1/11/2019,144.330002,149.75,143.210007,148.830002,148.676773,21869100
1/14/2019,146.720001,151.460007,145.770004,150.440002,150.28511,18254200
1/15/2019,151.759995,153.350006,149.130005,149.869995,149.715698,15425300
1/16/2019,150.970001,152.300003,148.619995,148.839996,148.686752,11752600
1/17/2019,147.509995,153.330002,146.410004,151.720001,151.563797,12335900
1/18/2019,153.729996,157.979996,151.649994,156.929993,156.768433,16283400
1/22/2019,155.710007,156.179993,147.550003,148.770004,148.616837,16538800
1/23/2019,151,154.580002,148.029999,149.289993,149.136292,14775500
1/24/2019,152.699997,158.550003,152.509995,157.839996,157.67749,17724300
1/25/2019,155.440002,160.880005,151.300003,160.149994,159.985107,28864300
1/28/2019,136.550003,141.639999,131,138.009995,137.867905,62788200
1/29/2019,136.149994,138.100006,131.009995,131.600006,131.464523,28848300
1/30/2019,134.669998,137.970001,131.460007,137.389999,137.24855,24355700
1/31/2019,137.259995,145.190002,136.380005,143.75,143.602005,21071300
2/1/2019,144.5,146.789993,142.580002,144.729996,144.580994,15626200
2/4/2019,145.369995,150.679993,144.479996,149.179993,149.026398,13214800
2/5/2019,149.660004,151.429993,148.300003,149.949997,149.795609,13560600
2/6/2019,151.289993,155.600006,151.070007,153,152.842484,17561600
2/7/2019,151.130005,151.220001,145.690002,147.419998,147.268219,15928000
2/8/2019,144.710007,148.600006,144.130005,148.169998,148.017456,11540100
2/11/2019,146.389999,148.580002,144.5,146.449997,146.299225,12379500
2/12/2019,148,151.800003,147.419998,151.169998,151.014359,14776500
2/13/2019,152.360001,155.830002,151.809998,152.880005,152.72261,15134300
2/14/2019,152.839996,155.669998,151.100006,154.529999,154.370895,20681600
2/15/2019,162.949997,163.869995,156.419998,157.339996,157.178009,37918700
2/19/2019,156.910004,159.889999,156.139999,156.639999,156.478729,13797300
2/20/2019,157.820007,161.259995,157.369995,158.550003,158.386765,13524700
2/21/2019,159.059998,160.050003,155.179993,155.770004,155.609634,11213700
2/22/2019,157.860001,159.949997,157.309998,159.190002,159.026108,10043500
2/25/2019,162.559998,165.279999,158.339996,158.690002,158.526627,16400500
